"id","category","prompt","mode","domain","tags","expected_authorities","notes"
"v2-001","general_research","Under Virginia law, is past consideration sufficient to support a new contract, or must consideration be bargained-for and contemporaneous?","chat","contracts","[""doctrine"", ""anchored""]","[""Va. Code § 8.01-246""]","Should explain Virginia adheres to bargained-for consideration; past consideration insufficient."
"v2-002","general_research","What elements must a Virginia plaintiff plead and prove for a tortious-interference-with-contract claim?","chat","contracts","[""elements"", ""doctrine""]","[]","Should list: valid contract, knowledge, intentional interference, absence of justification, damages. See Chaves v. Johnson, 230 Va. 112 (1985)."
"v2-003","general_research","Under Virginia's UCC Article 2, when does the statute of frauds require a writing for the sale of goods?","chat","contracts","[""ucc"", ""doctrine""]","[""Va. Code § 8.2-201""]","Goods $500 or more; should reference § 8.2-201 and merchant exception."
"v2-004","general_research","Does Virginia recognize a 'mailbox rule' for contract acceptance, and if so under what conditions?","chat","contracts","[""doctrine"", ""formation""]","[]","Yes — acceptance effective on dispatch when offer authorizes that mode."
"v2-005","general_research","Is the parol evidence rule in Virginia a rule of substantive law or a rule of evidence, and what is the practical consequence of that classification?","chat","contracts","[""doctrine"", ""evidence""]","[]","Substantive in Virginia — bars admission even without objection."
"v2-006","general_research","What is the standard for finding an enforceable liquidated-damages clause in a Virginia contract, and when will Virginia courts strike one as a penalty?","chat","contracts","[""doctrine""]","[]","Should reference reasonableness in light of anticipated/actual harm; difficulty of proof."
"v2-007","general_research","Under Virginia law, can a non-signatory third-party beneficiary enforce a contract, and what must they prove?","chat","contracts","[""doctrine"", ""third-party""]","[""Va. Code § 55.1-119""]","Must show contract clearly and definitely intended to benefit them."
"v2-008","general_research","What are the elements of a defamation per se claim in Virginia, and which categories qualify as defamation per se?","chat","defamation","[""elements"", ""anchored""]","[]","Imputation of crime of moral turpitude, loathsome disease, unfitness for trade/profession, unchastity in a woman."
"v2-009","general_research","Does Virginia recognize the 'innocent construction rule' for defamation?","chat","defamation","[""doctrine""]","[]","No — Virginia rejects innocent construction; courts assess plain and natural meaning."
"v2-010","general_research","Under Virginia law, what is the difference between defamation per se and defamation per quod, and what damages are presumed for each?","chat","defamation","[""doctrine""]","[]","Per se: damages presumed; per quod: special damages must be pleaded and proved."
"v2-011","general_research","What is the qualified privilege standard for statements made in the course of employment investigations in Virginia?","chat","defamation","[""privilege""]","[]","Common-interest qualified privilege; defeated by common-law malice."
"v2-012","general_research","How does Virginia distinguish actionable false statements of fact from non-actionable statements of opinion in defamation cases?","chat","defamation","[""doctrine""]","[]","Should reference verifiability test — Yeagle v. Collegiate Times line."
"v2-013","general_research","What is the heightened-fault standard a public-figure plaintiff must meet for defamation in Virginia, and what evidence demonstrates actual malice?","chat","defamation","[""public-figure""]","[]","New York Times v. Sullivan actual malice; clear and convincing."
"v2-014","general_research","Is republication of a defamatory statement actionable in Virginia under the single-publication rule, and how does that apply to internet postings?","chat","defamation","[""sol"", ""internet""]","[]","Single-publication rule; SOL runs from first publication; substantive change can restart."
"v2-015","general_research","What is the foundation required to admit a business record under Virginia Rule of Evidence 2:803(6)?","chat","evidence","[""foundation"", ""anchored""]","[]","Custodian or qualified witness; regularly conducted activity; near-time entry; trustworthy."
"v2-016","general_research","Under Virginia law, when is a prior inconsistent statement admissible as substantive evidence rather than only for impeachment?","chat","evidence","[""impeachment""]","[""Va. Code § 8.01-403""]","Must be made under oath at prior proceeding for substantive use."
"v2-017","general_research","Does Virginia follow the Daubert standard or the Frye standard for expert scientific testimony?","chat","evidence","[""expert"", ""doctrine""]","[]","Virginia follows a hybrid Frye-plus standard codified in Va. Code § 8.01-401.3 / Va. R. Evid. 2:702."
"v2-018","general_research","What is the proper procedure in Virginia to authenticate text messages or social-media posts at trial?","chat","evidence","[""authentication"", ""digital""]","[]","Va. R. Evid. 2:901; circumstantial evidence of authorship."
"v2-019","general_research","Under Virginia's hearsay framework, when may an excited utterance be admitted, and what foundation is required?","chat","evidence","[""hearsay"", ""exception""]","[]","Startling event, statement made while under stress of excitement, relating to event."
"v2-020","general_research","What is the marital communications privilege under Virginia law, and when does it apply versus the spousal testimonial privilege?","chat","evidence","[""privilege""]","[""Va. Code § 19.2-271.2""]","Distinguish marital communications (substance) vs. spousal incompetency in criminal cases."
"v2-021","general_research","How does Virginia treat impeachment of a witness with a prior conviction — what convictions qualify and what is the time limit?","chat","evidence","[""impeachment""]","[""Va. Code § 19.2-269""]","Felonies and misdemeanors involving moral turpitude; no time limit."
"v2-022","general_research","Under Virginia's discovery rules, how many interrogatories may a party serve without leave of court, and may sub-parts be counted separately?","chat","discovery","[""limits"", ""anchored""]","[]","30 interrogatories per Rule 4:8; sub-parts on a discrete subject count separately."
"v2-023","general_research","What is the proper procedure under Virginia Supreme Court Rule 4:9 for objecting to a subpoena duces tecum directed to a non-party?","chat","discovery","[""subpoena""]","[]","Motion to quash within 14 days of service or before compliance date."
"v2-024","general_research","When may a party in a Virginia civil case obtain a Rule 4:10 mental or physical examination of an opposing party?","chat","discovery","[""rule-4:10""]","[]","Good cause; condition in controversy."
"v2-025","general_research","How does Virginia define the scope of discovery — is it identical to Federal Rule 26(b)(1)?","chat","discovery","[""scope""]","[]","Va. Rule 4:1(b)(1) is broader in some respects; relevance to subject matter, not just claims/defenses."
"v2-026","general_research","What protections does the Virginia work-product doctrine provide for trial preparation materials, and how does it differ from federal Rule 26(b)(3)?","chat","discovery","[""work-product""]","[]","Substantial-need / undue-hardship; opinion work product nearly absolute."
"v2-027","general_research","Under Va. Rule 4:11, when is a Request for Admission deemed admitted, and how can a party withdraw or amend an admission?","chat","discovery","[""admissions""]","[]","Deemed admitted if no response within 21 days; withdrawal on motion showing merits served."
"v2-028","general_research","What duty of supplementation does a party have under Virginia discovery rules for responses that become incorrect after the initial response?","chat","discovery","[""supplementation""]","[]","Va. Rule 4:1(e); duty to seasonably supplement on identity of witnesses, expert opinions, prior incorrect responses."
"v2-029","general_research","Under Virginia law, what is the test for whether a state employee enjoys individual sovereign immunity for negligent acts?","chat","sovereign_immunity","[""doctrine"", ""anchored""]","[""Messina v. Burden, 228 Va. 301 (1984)""]","Should reference the four-factor Messina test."
"v2-030","general_research","Does Virginia's Tort Claims Act waive sovereign immunity for intentional torts committed by Commonwealth employees?","chat","sovereign_immunity","[""vtca""]","[""Va. Code § 8.01-195.3""]","VTCA generally does not waive intentional-tort immunity."
"v2-031","general_research","What is the cap on recovery against the Commonwealth under the Virginia Tort Claims Act, and is it indexed for inflation?","chat","sovereign_immunity","[""vtca"", ""damages""]","[""Va. Code § 8.01-195.3""]","Single transaction cap; not indexed."
"v2-032","general_research","Under Virginia common law, do municipal corporations enjoy sovereign immunity for proprietary functions, and how is the line drawn?","chat","sovereign_immunity","[""municipal""]","[]","Governmental vs. proprietary distinction; proprietary functions exposed to liability."
"v2-033","general_research","Are Virginia school boards immune from negligence actions arising from playground or athletic injuries?","chat","sovereign_immunity","[""school-board""]","[]","Generally yes for governmental functions; analyze under Messina for individual employees."
"v2-034","general_research","What is the current statutory cap on medical-malpractice recovery in Virginia, and when does the next scheduled increase take effect?","chat","med_mal","[""cap"", ""anchored""]","[""Va. Code § 8.01-581.15""]","Cap rises annually each July 1; CLARA must use live cap window injection."
"v2-035","general_research","Under Virginia law, what is the certification-of-merit requirement for filing a medical-malpractice claim?","chat","med_mal","[""procedure""]","[""Va. Code § 8.01-20.1""]","Plaintiff must obtain a written opinion from qualified expert before service."
"v2-036","general_research","What is the standard for proving informed consent in a Virginia medical-malpractice case?","chat","med_mal","[""informed-consent""]","[]","Reasonable-patient or reasonable-practitioner standard; Va. follows physician-disclosure standard."
"v2-037","general_research","Under Virginia law, when does the medical-malpractice statute of limitations begin to run for a foreign-object-left-in-body claim?","chat","med_mal","[""sol""]","[""Va. Code § 8.01-243(C)""]","Discovery rule for foreign objects."
"v2-038","general_research","What constitutes the 'continuing treatment doctrine' in Virginia medical malpractice and how does it affect SOL accrual?","chat","med_mal","[""sol"", ""doctrine""]","[]","SOL tolled during continuous course of treatment for same condition."
"v2-039","general_research","Who qualifies as an 'expert witness' in a Virginia medical-malpractice case under § 8.01-581.20?","chat","med_mal","[""expert""]","[""Va. Code § 8.01-581.20""]","Active clinical practice in same specialty within one year preceding incident."
"v2-040","general_research","Under VRLTA, how much may a landlord charge as a security deposit, and what is the deadline to return it after termination of tenancy?","chat","vrlta","[""security-deposit"", ""anchored""]","[""Va. Code § 55.1-1226""]","Two months' rent max; 45 days to return with itemization."
"v2-041","general_research","What is the proper notice period a Virginia landlord must give before filing an unlawful detainer based on non-payment of rent?","chat","vrlta","[""notice""]","[""Va. Code § 55.1-1245""]","5-day pay-or-quit notice."
"v2-042","general_research","Under VRLTA, when is a tenant entitled to an emergency hearing for an alleged habitability defect or essential-service interruption?","chat","vrlta","[""emergency-hearing""]","[""Va. Code § 55.1-1244(F)""]","D2 anchored: § 55.1-1244(F) emergency-hearing provision."
"v2-043","general_research","What protections does VRLTA provide against retaliatory eviction in Virginia?","chat","vrlta","[""retaliation""]","[""Va. Code § 55.1-1258""]","Prohibits retaliation within reasonable period after protected activity."
"v2-044","general_research","Under VRLTA, is a tenant required to deposit rent into court to maintain a tenant's assertion or defense in an unlawful detainer action?","chat","vrlta","[""rent-escrow""]","[""Va. Code § 55.1-1244""]","Yes — rent escrow required to maintain assertion."
"v2-045","general_research","What is the mens rea required for a conviction of larceny by trick under Virginia common law?","chat","criminal","[""mens-rea""]","[]","Specific intent to permanently deprive at time of taking by fraudulent means."
"v2-046","general_research","Under Virginia law, what is the difference between robbery and grand larceny, and which is a crime against the person?","chat","criminal","[""elements""]","[""Va. Code § 18.2-58"", ""Va. Code § 18.2-95""]","Robbery requires force or intimidation; crime against the person."
"v2-047","general_research","What is the standard for a Virginia trial court to grant a motion to suppress under the exclusionary rule for a Fourth Amendment violation?","chat","criminal","[""suppression""]","[]","Burden on Commonwealth once warrantless seizure shown; preponderance."
"v2-048","general_research","Under Virginia law, when is a defendant entitled to an Allen charge or supplemental jury instruction during deliberations?","chat","criminal","[""jury""]","[]","Discretion of trial court; must not be coercive."
"v2-049","general_research","What is the Commonwealth's burden of proof for revoking a suspended sentence in Virginia?","chat","criminal","[""sentencing""]","[""Va. Code § 19.2-306""]","Preponderance of the evidence."
"v2-050","general_research","Under Virginia Supreme Court Rule 1:1, when does a circuit court lose jurisdiction to modify a final judgment?","chat","civil_procedure","[""finality"", ""anchored""]","[]","21 days from entry, absent suspension order."
"v2-051","general_research","What is the deadline under Va. Rule 3:8 for a defendant to file a responsive pleading after service of process in a circuit court action?","chat","civil_procedure","[""deadline""]","[]","21 days after service."
"v2-052","general_research","Under Virginia law, what is the standard for granting a non-suit, and how many non-suits is a plaintiff entitled to as of right?","chat","civil_procedure","[""non-suit""]","[""Va. Code § 8.01-380""]","One non-suit as of right; additional require court approval."
"v2-053","general_research","What is the proper procedure to remove a Virginia circuit court action to federal court under 28 U.S.C. § 1441, and what is the deadline?","chat","civil_procedure","[""removal""]","[]","30 days from receipt of pleading; remove to USDC for district embracing the state court."
"v2-054","general_research","Under Va. Code § 8.01-275.1, what is the deadline for service of process after filing a complaint in Virginia, and what is the consequence of late service?","chat","civil_procedure","[""service""]","[""Va. Code § 8.01-275.1""]","12 months from filing; due-diligence safe harbor; otherwise dismissal without prejudice."
"v2-055","general_research","Under Va. Rule 1:7, how is time computed when a deadline falls on a weekend or legal holiday?","chat","deadlines","[""computation"", ""anchored""]","[]","Extends to next non-weekend, non-holiday day; CLARA must run automatic Rule 1:7 audit."
"v2-056","general_research","What is the Virginia statute of limitations for a personal injury action, and when does it begin to accrue?","chat","deadlines","[""sol""]","[""Va. Code § 8.01-243""]","Two years; accrues at injury."
"v2-057","general_research","What is the Virginia statute of limitations for fraud, and when does the discovery rule toll it?","chat","deadlines","[""sol""]","[""Va. Code § 8.01-243(A)"", ""Va. Code § 8.01-249(1)""]","Two years; accrues on discovery of fraud."
"v2-058","general_research","Under Virginia law, what is the deadline to file a notice of appeal from a circuit court final judgment to the Court of Appeals?","chat","deadlines","[""appeal""]","[]","30 days from final judgment; Va. R. 5A:6."
"v2-059","general_research","What is the deadline under Va. Code § 8.01-229 for tolling of the statute of limitations during a defendant's absence from Virginia?","chat","deadlines","[""tolling""]","[""Va. Code § 8.01-229(E)""]","Tolling for absence from the Commonwealth."
"v2-060","general_research","What advisements must a Virginia trial court give a defendant under Va. Sup. Ct. Rule 3A:8 before accepting a guilty plea?","chat","plea_colloquy","[""procedure""]","[]","Voluntariness, factual basis, rights waived, consequences."
"v2-061","general_research","How does Virginia's contributory-negligence doctrine interact with the last-clear-chance doctrine?","chat","contributory_negligence","[""doctrine""]","[]","Last clear chance is escape-hatch when plaintiff is helpless or inattentive."
"v2-062","general_research","Under the Virginia Human Rights Act, what is the deadline for filing a charge of discrimination, and what remedies are available?","chat","employment","[""vhra""]","[""Va. Code § 2.2-3900""]","300 days; remedies include compensatory damages, injunctive relief, and punitive damages capped."
"v2-063","general_research","Under Virginia law, what is the legal standard for awarding spousal support, and what factors must the court consider?","chat","family_law","[""spousal-support""]","[""Va. Code § 20-107.1""]","Statutory factors including duration, contributions, financial need."
"v2-064","general_research","What is the standard of review the Virginia Court of Appeals applies to a trial court's evidentiary rulings, and how does it differ from review of pure questions of law?","chat","appellate","[""std-of-review""]","[]","Abuse of discretion for evidentiary; de novo for questions of law."
"v2-065","general_research","Under VSB LEO 1901 and Rule 1.5, what disclosures must a Virginia attorney make when using generative AI tools to perform legal services?","chat","ethics","[""ai"", ""anchored""]","[]","Should reference VSB LEO 1901, Rule 1.5 fee disclosure, supervision under Rules 5.1/5.3."
"v2-066","general_research","Under the Virginia Uniform Trade Secrets Act, what must a plaintiff prove to obtain injunctive relief against a former employee for misappropriation?","chat","trade_secrets","[""vutsa""]","[""Va. Code § 59.1-336""]","Existence of trade secret, reasonable measures to protect, misappropriation."
"v2-067","general_research","How does the Virginia homestead exemption interact with federal bankruptcy exemptions for a Chapter 7 debtor filing in the Eastern District of Virginia?","chat","bankruptcy","[""exemption""]","[""Va. Code § 34-4""]","Virginia opts out; debtors must use state exemptions."
"v2-068","general_research","Under the Virginia Administrative Process Act, what is the standard of judicial review for an agency's findings of fact?","chat","administrative_law","[""apa"", ""std-of-review""]","[""Va. Code § 2.2-4027""]","Substantial evidence in the agency record."
"v2-069","general_research","What sanctions may a Virginia circuit court impose under Rule 4:12 for failure to comply with a discovery order, and what is the standard for the most severe sanctions?","chat","discovery_sanctions","[""rule-4:12""]","[]","Range from compelling response to dismissal/default; severe sanctions require willfulness or bad faith."
"v2-070","general_research","What is the standard for piercing the corporate veil under Virginia law, and which factors do Virginia courts weigh most heavily?","chat","contracts","[""doctrine"", ""corporate""]","[]","Should reference unity-of-interest test and inequitable result; C.F. Trust v. First Flight."
"v2-071","general_research","Under Virginia law, when is a release of one joint tortfeasor a release of all, and how has this rule been modified by statute?","chat","contracts","[""release""]","[""Va. Code § 8.01-35.1""]","Statute abrogates common-law rule; release of one does not release others unless specified."
"v2-072","general_research","What is the foundation under Va. R. Evid. 2:702 for admitting opinion testimony from a non-expert lay witness?","chat","evidence","[""lay-opinion""]","[]","Rationally based on perception; helpful; not based on specialized knowledge."
"v2-073","general_research","Under Va. Code § 8.01-379.1, when is collateral-source evidence admissible to reduce damages in a Virginia personal injury action?","chat","civil_procedure","[""damages""]","[""Va. Code § 8.01-379.1""]","Collateral source rule generally bars; exceptions narrow."
"v2-074","general_research","What is the difference under Virginia law between a demurrer, a plea in bar, and a motion for summary judgment, and which is appropriate at which stage?","chat","civil_procedure","[""pleading""]","[]","Demurrer = legal sufficiency; plea in bar = single dispositive issue; SJ = no genuine dispute."
"v2-075","general_research","Under Virginia law, when is a third-party defendant entitled to file a counterclaim against the original plaintiff?","chat","civil_procedure","[""impleader""]","[]","Va. R. 3:13; permitted with leave or as of right depending on timing."
"v2-076","general_research","What is the legal effect under Virginia law of an arbitration clause in an adhesion contract, and when may it be unconscionable?","chat","contracts","[""arbitration""]","[]","Generally enforceable; substantive + procedural unconscionability test."
"v2-077","general_research","Under Virginia's medical-malpractice review-panel statute, when may a party request a panel and what is the panel's role?","chat","med_mal","[""review-panel""]","[""Va. Code § 8.01-581.2""]","Panel non-binding; review for standard of care and causation."
"v2-078","general_research","What is the standard under Va. Code § 8.01-271.1 for sanctions analogous to Federal Rule 11?","chat","civil_procedure","[""sanctions""]","[""Va. Code § 8.01-271.1""]","Reasonable inquiry; not interposed for improper purpose."
"v2-079","general_research","What is the standard in Virginia for a court to enforce a non-compete agreement after the 2020 statutory amendments?","chat","employment","[""non-compete""]","[""Va. Code § 40.1-28.7:7"", ""Va. Code § 40.1-28.7:8""]","Low-wage employee non-competes void; reasonableness three-prong test for others."
"v2-080","general_research","Under VRLTA, when may a landlord enter the leased premises, and what notice is required for non-emergency entry?","chat","vrlta","[""entry""]","[""Va. Code § 55.1-1229""]","24-hour notice for non-emergency; emergency entry allowed."
"v2-081","jurisdiction_specific","Under Virginia's 2024 amendments to Va. Code § 8.01-417, are healthcare-provider records subject to any new authentication shortcuts for use at trial?","chat","evidence","[""recent-amendment""]","[""Va. Code § 8.01-417""]","Tests knowledge of any 2024 medical-records authentication amendments."
"v2-082","jurisdiction_specific","Did the 2023 amendments to Virginia's UCC Article 12 on controllable electronic records apply to NFTs and digital assets created before the effective date?","chat","contracts","[""recent-amendment"", ""ucc""]","[""Va. Code § 8.12-101""]","Tests knowledge of UCC Article 12 adoption."
"v2-083","jurisdiction_specific","Under Virginia's 2024 amendments to the non-compete statute, what new threshold applies for low-wage employee carve-outs?","chat","employment","[""recent-amendment""]","[""Va. Code § 40.1-28.7:8""]","Tests knowledge of 2024 amendment to wage threshold."
"v2-084","jurisdiction_specific","Under the 2024 VRLTA amendments, what additional protections were added for tenants experiencing domestic violence?","chat","vrlta","[""recent-amendment""]","[""Va. Code § 55.1-1246""]","Tests knowledge of recent VRLTA amendments."
"v2-085","jurisdiction_specific","Does the Fairfax County General District Court have a local rule requiring mediation in unlawful detainer actions before trial?","chat","vrlta","[""local-practice""]","[]","Tests local-rule knowledge for Fairfax GDC."
"v2-086","jurisdiction_specific","What is the current jurisdictional limit of Virginia General District Courts for civil claims, and when was the limit last raised?","chat","vrlta","[""jurisdiction""]","[""Va. Code § 16.1-77""]","Current limit and effective date."
"v2-087","jurisdiction_specific","Did the Virginia Supreme Court amend Rule 4:1 in 2024 to incorporate proportionality language similar to Federal Rule 26(b)(1)?","chat","discovery","[""rule-amendment""]","[]","Tests knowledge of recent Va. Rule 4:1 amendments."
"v2-088","jurisdiction_specific","Under the Eastern District of Virginia's local rules, what is the deadline for filing a motion to compel discovery after a deficient response?","chat","discovery","[""local-practice"", ""federal""]","[]","EDVA Local Civil Rule 37; 30 days."
